14,2,543.80,293.70,88.95,55.03,0.4738,-1,-1,-1
14,3,208.84,253.44,94.72,40.43,0.7513,-1,-1,-1
15,2,527.91,295.84,90.91,59.40,0.3422,-1,-1,-1
15,3,208.76,253.49,94.39,40.32,0.7902,-1,-1,-1
16,3,208.00,253.35,95.23,40.15,0.7933,-1,-1,-1
17,3,208.47,253.42,94.03,40.29,0.8120,-1,-1,-1
17,9,490.75,211.85,103.23,58.21,0.4590,-1,-1,-1
18,2,475.79,304.52,96.26,48.54,0.7552,-1,-1,-1
18,3,206.73,252.71,95.23,40.59,0.8069,-1,-1,-1
18,9,493.86,211.92,98.40,58.79,0.2831,-1,-1,-1
19,2,458.91,307.53,83.88,46.18,0.7269,-1,-1,-1
19,3,207.78,253.20,95.01,40.48,0.7845,-1,-1,-1
20,2,441.68,308.70,90.99,48.48,0.8064,-1,-1,-1
20,3,208.28,253.36,94.39,40.23,0.8095,-1,-1,-1
20,9,491.72,211.01,102.08,60.03,0.3911,-1,-1,-1
21,2,424.61,312.24,97.21,47.91,0.8351,-1,-1,-1
21,3,207.91,253.35,95.79,40.36,0.7505,-1,-1,-1
22,2,405.87,315.12,102.20,49.03,0.8362,-1,-1,-1
22,3,208.43,253.53,94.64,40.27,0.7864,-1,-1,-1
23,2,387.37,317.85,105.23,50.09,0.8287,-1,-1,-1
23,3,208.30,253.45,94.74,40.37,0.7704,-1,-1,-1
24,2,369.23,319.27,106.97,53.08,0.8565,-1,-1,-1
24,3,208.55,253.63,94.71,40.17,0.7920,-1,-1,-1
25,2,350.11,321.83,108.81,54.70,0.8533,-1,-1,-1
25,3,209.08,253.79,94.27,40.09,0.8025,-1,-1,-1
26,2,329.68,325.18,111.03,55.50,0.8399,-1,-1,-1
26,3,208.30,253.66,94.82,40.00,0.7803,-1,-1,-1
27,2,309.40,329.22,113.88,55.42,0.8330,-1,-1,-1
27,3,208.32,253.55,94.44,40.25,0.7864,-1,-1,-1
27,9,491.88,213.53,102.12,55.75,0.2529,-1,-1,-1
28,2,289.55,333.65,115.72,55.86,0.8590,-1,-1,-1
28,3,208.19,253.44,94.81,40.40,0.7785,-1,-1,-1
29,2,266.78,336.99,119.59,56.99,0.8622,-1,-1,-1
29,3,207.83,253.30,95.16,40.46,0.7852,-1,-1,-1
30,2,245.52,340.64,122.96,57.79,0.8452,-1,-1,-1
30,3,208.15,253.18,94.84,40.43,0.8131,-1,-1,-1
31,2,223.61,343.44,125.65,59.75,0.8453,-1,-1,-1
31,3,207.39,252.81,95.14,40.63,0.7885,-1,-1,-1
32,2,200.84,345.88,128.95,61.78,0.8611,-1,-1,-1
32,3,208.27,253.18,94.80,40.33,0.7728,-1,-1,-1
33,2,177.69,349.43,132.45,63.84,0.8369,-1,-1,-1
33,3,208.43,252.93,94.22,40.63,0.7857,-1,-1,-1
34,2,152.69,352.63,136.73,65.75,0.8515,-1,-1,-1
34,3,208.45,252.81,94.03,40.81,0.7781,-1,-1,-1
35,2,128.21,356.81,144.17,67.16,0.8607,-1,-1,-1
35,3,208.72,252.93,94.12,40.75,0.8081,-1,-1,-1
36,2,102.34,362.58,147.04,67.40,0.8629,-1,-1,-1
36,3,209.23,253.35,93.98,40.19,0.7487,-1,-1,-1
37,2,76.09,367.84,150.29,67.67,0.8493,-1,-1,-1
37,3,209.47,253.24,93.93,40.51,0.7435,-1,-1,-1
38,2,48.48,371.25,154.24,69.76,0.8678,-1,-1,-1
38,3,209.11,252.79,93.88,40.89,0.7749,-1,-1,-1
39,2,19.83,375.05,160.47,72.70,0.8638,-1,-1,-1
39,3,209.13,252.72,93.73,41.06,0.7895,-1,-1,-1
40,2,0.00,378.83,155.85,75.78,0.8489,-1,-1,-1
40,3,209.35,252.97,93.87,40.87,0.7384,-1,-1,-1
41,2,0.00,382.87,130.68,77.44,0.8697,-1,-1,-1
41,3,208.90,252.49,93.75,41.20,0.8076,-1,-1,-1
42,2,0.00,386.47,106.05,80.67,0.8226,-1,-1,-1
42,3,208.99,252.38,93.38,41.05,0.8163,-1,-1,-1
43,2,0.00,393.07,80.26,71.55,0.6427,-1,-1,-1
43,3,208.47,252.28,94.39,40.95,0.7724,-1,-1,-1
44,2,0.00,401.69,52.04,63.97,0.5668,-1,-1,-1
44,3,209.40,252.63,94.45,40.80,0.7681,-1,-1,-1
45,3,209.93,253.23,94.44,40.49,0.7316,-1,-1,-1
46,3,209.28,252.47,93.67,41.21,0.7152,-1,-1,-1
47,3,209.57,251.95,93.24,41.49,0.8033,-1,-1,-1
48,3,209.52,252.15,93.28,41.32,0.8076,-1,-1,-1
48,9,492.16,211.06,104.51,58.69,0.3309,-1,-1,-1
49,3,209.50,252.06,93.78,41.49,0.7944,-1,-1,-1
50,3,208.66,251.78,94.02,41.48,0.8171,-1,-1,-1
51,3,207.91,251.82,94.63,41.30,0.7555,-1,-1,-1
51,9,497.52,211.42,97.28,58.80,0.3025,-1,-1,-1
52,3,207.98,252.15,94.72,41.22,0.7689,-1,-1,-1
52,9,494.88,212.85,100.93,57.14,0.2517,-1,-1,-1
53,3,208.82,252.03,93.79,41.45,0.7603,-1,-1,-1
54,3,208.91,252.14,93.68,41.42,0.7856,-1,-1,-1
54,9,491.76,212.75,104.70,57.58,0.4333,-1,-1,-1
55,3,208.83,252.50,94.42,41.06,0.7799,-1,-1,-1
56,3,209.00,253.00,94.38,40.73,0.7611,-1,-1,-1
56,9,490.86,213.00,105.73,57.83,0.4566,-1,-1,-1
56,13,931.39,226.72,28.21,60.88,0.5154,-1,-1,-1
57,3,209.55,253.67,93.57,39.82,0.7635,-1,-1,-1
57,13,927.15,226.60,32.24,61.71,0.3508,-1,-1,-1
58,3,209.58,253.96,93.82,39.92,0.8181,-1,-1,-1
58,13,921.20,226.83,38.24,62.69,0.3009,-1,-1,-1
59,3,209.56,253.93,93.21,39.94,0.8291,-1,-1,-1
59,9,492.72,213.02,102.14,58.17,0.2949,-1,-1,-1
59,13,915.69,226.16,43.64,66.68,0.3760,-1,-1,-1
60,3,209.57,253.80,93.20,40.14,0.8301,-1,-1,-1
60,9,496.98,213.09,97.71,57.92,0.3466,-1,-1,-1
60,13,910.05,225.73,49.50,70.14,0.5580,-1,-1,-1
61,3,210.03,254.57,93.27,39.84,0.8127,-1,-1,-1
61,13,904.59,225.77,55.04,70.26,0.6375,-1,-1,-1
62,3,209.81,255.08,93.32,39.60,0.8286,-1,-1,-1
62,9,494.32,213.48,100.67,57.24,0.3619,-1,-1,-1
62,13,900.71,227.17,58.92,70.75,0.7651,-1,-1,-1
63,3,209.53,255.36,94.11,39.51,0.8388,-1,-1,-1
63,9,496.11,214.12,99.02,57.08,0.2963,-1,-1,-1
63,13,894.34,228.23,65.15,70.97,0.7879,-1,-1,-1
64,3,209.23,255.49,93.97,39.63,0.8277,-1,-1,-1
64,9,492.96,213.34,101.48,58.00,0.4643,-1,-1,-1
64,13,889.96,228.90,69.41,73.71,0.8513,-1,-1,-1
65,3,209.18,255.94,94.08,39.47,0.8353,-1,-1,-1
65,9,494.30,213.74,100.57,57.65,0.3417,-1,-1,-1
65,13,883.33,229.12,76.18,74.92,0.7787,-1,-1,-1
